City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
165,Rocha,UY,-34.4833,-54.3333,52.16,91,4,6.55,clear sky
166,Malakal,SS,9.5334,31.6605,75.45,72,48,4.38,scattered clouds
167,Nikolskoye,RU,59.7035,30.7861,53.02,84,96,16.06,overcast clouds
168,Saint-Joseph,RE,-21.3667,55.6167,70.16,73,5,5.55,clear sky
169,Dirba,IN,30.0667,75.9833,71.83,23,0,5.48,clear sky
170,Bandarbeyla,SO,9.4942,50.8122,76.05,86,81,4.85,broken clouds
171,Ouadda,CF,8.0777,22.4007,68.94,90,99,2.08,overcast clouds
172,Namatanai,PG,-3.6667,152.4333,84.4,70,89,5.84,light rain
173,Araouane,ML,18.9048,-3.5265,76.1,23,8,9.22,clear sky
174,Sainte-Maxime,FR,43.3,6.6333,64.42,41,99,12.3,overcast clouds
175,Oksfjord,NO,70.2396,22.3479,33.87,92,100,14.2,snow
176,Labytnangi,RU,66.6572,66.4183,28.06,93,100,5.21,overcast clouds
177,Minna,NG,9.6139,6.5569,74.59,90,97,3.0,light rain
178,Yar-Sale,RU,66.8333,70.8333,28.92,92,100,7.47,overcast clouds
179,Bambous Virieux,MU,-20.3428,57.7575,74.21,88,75,6.91,broken clouds
180,Alofi,NU,-19.0595,-169.9187,80.49,57,75,14.97,broken clouds
181,Pingliang,CN,35.5392,106.6861,41.95,78,100,4.52,overcast clouds
182,Bara,NG,10.3744,10.7288,77.77,67,61,2.26,broken clouds
183,Dunedin,NZ,-45.8742,170.5036,55.8,67,38,13.0,scattered clouds
184,Egvekinot,RU,66.3167,-179.1667,19.27,94,100,1.28,light snow
185,Selenginsk,RU,52.0064,106.8647,18.01,72,0,5.06,clear sky
186,Nytva,RU,57.9404,55.334,35.49,99,100,8.46,overcast clouds
187,Olafsvik,IS,64.8945,-23.7142,40.28,65,67,14.5,broken clouds
188,Chifeng,CN,42.2683,118.9636,39.51,44,0,5.77,clear sky
189,Luzhou,CN,28.8724,105.4405,56.12,95,100,2.35,overcast clouds
190,Barabash,RU,43.2,131.4833,28.08,47,76,3.4,broken clouds
191,San Policarpo,PH,12.1791,125.5072,81.77,84,78,11.45,broken clouds
192,Nantucket,US,41.2835,-70.0995,65.01,89,1,12.66,clear sky
193,Okitipupa,NG,6.5047,4.7839,74.08,94,57,2.17,broken clouds
194,Harper,LR,4.375,-7.7169,77.59,87,96,7.16,overcast clouds
195,Asau,RO,46.4333,26.4,58.75,64,84,6.22,broken clouds
196,Dhidhdhoo,MV,6.8833,73.1,80.82,78,52,6.78,broken clouds
197,Avarua,CK,-21.2078,-159.775,77.05,61,30,9.22,light rain
198,Kango,GA,0.1943,10.0951,73.72,99,98,1.77,light rain
199,River Falls,US,44.8614,-92.6238,48.42,65,98,6.87,overcast clouds
200,Maracas,BR,-13.4411,-40.4308,66.04,95,100,3.33,overcast clouds
201,Malindi,KE,-3.2175,40.1191,76.64,79,14,12.73,few clouds
202,Qena,EG,26.1615,32.7183,69.91,42,2,6.67,clear sky
203,Qaqortoq,GL,60.7167,-46.0333,32.5,37,100,8.66,overcast clouds
204,George Town,MY,5.4112,100.3354,77.9,89,20,0.0,few clouds
205,Ballater,GB,57.0493,-3.0402,45.3,91,96,20.09,overcast clouds
206,Georgetown,MY,5.4112,100.3354,77.9,89,20,0.0,few clouds
207,Ostrovnoy,RU,68.0531,39.5131,34.47,73,100,18.16,overcast clouds
208,Rotenburg,DE,53.1167,9.4,44.26,81,54,17.56,broken clouds
209,Ilulissat,GL,69.2167,-51.1,30.22,69,43,19.57,scattered clouds
210,Elko,US,41.0002,-115.5012,71.62,28,54,7.83,broken clouds
211,Yalutorovsk,RU,56.6536,66.3006,26.19,89,47,9.13,scattered clouds
212,Cloppenburg,DE,52.85,8.0333,43.86,81,60,16.55,broken clouds
213,Catuday,PH,16.2923,119.8062,81.88,76,64,7.76,broken clouds
214,Seoul,KR,37.5683,126.9778,42.37,93,0,1.14,clear sky
215,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.69,99,100,1.81,overcast clouds
216,Grants,US,35.1473,-107.8514,64.63,17,1,5.75,clear sky
217,Bamnet Narong,TH,15.4992,101.6897,76.75,87,100,2.24,overcast clouds
218,Qaanaaq,GL,77.484,-69.3632,0.03,74,13,8.19,few clouds
219,Hilo,US,19.7297,-155.09,83.28,64,20,4.61,few clouds
220,Campbeltown,GB,55.4258,-5.6076,50.05,74,100,29.12,overcast clouds
221,Mirabad,AF,30.4362,61.8383,55.2,54,15,27.89,few clouds
222,Sovetskiy,RU,61.3614,63.5842,30.18,70,100,9.15,overcast clouds
223,Paranapanema,BR,-23.3886,-48.7228,57.49,90,10,8.23,clear sky
224,Lata,PT,40.1629,-8.3327,58.82,93,0,3.18,clear sky
225,Kahului,US,20.8947,-156.47,84.22,69,40,21.85,scattered clouds
226,Saint Anthony,US,45.0205,-93.218,48.13,56,1,1.99,clear sky
227,Palmas De Monte Alto,BR,-14.2672,-43.1619,75.2,74,62,8.7,broken clouds
228,Bonthe,SL,7.5264,-12.505,78.93,85,100,6.38,light rain
229,Muros,ES,42.7762,-9.0603,59.85,94,33,4.36,scattered clouds
230,Gizo,SB,-8.103,156.8419,82.2,72,90,2.98,moderate rain
231,Norman Wells,CA,65.282,-126.8329,39.24,70,20,9.22,few clouds
232,Nioro,GM,13.35,-15.75,82.2,60,100,3.51,overcast clouds
233,Kotido,UG,2.9806,34.1331,72.72,56,57,9.57,broken clouds
234,Byron Bay,AU,-28.65,153.6167,75.15,72,62,2.71,broken clouds
235,Port Augusta,AU,-32.5,137.7667,75.7,38,0,8.03,clear sky
236,Sur,OM,22.5667,59.5289,78.98,63,3,7.78,clear sky
237,Bonfim,BR,3.0833,-59.95,81.39,71,77,1.59,broken clouds
238,Vila,PT,42.0304,-8.1588,45.48,89,1,4.07,clear sky
239,Thompson,CA,55.7435,-97.8558,32.16,86,75,8.05,broken clouds
240,Vaitape,PF,-16.5167,-151.75,79.48,72,24,7.74,light rain
241,Dingle,PH,10.9995,122.6711,80.85,86,95,7.02,overcast clouds
242,Mahibadhoo,MV,3.7833,72.9667,81.45,71,22,8.77,few clouds
243,Beringovskiy,RU,63.05,179.3167,17.94,86,100,13.35,overcast clouds
244,Deming,US,32.2687,-107.7586,82.29,14,1,5.75,clear sky
245,Flinders,AU,-34.5833,150.8552,72.81,83,32,1.01,scattered clouds
246,La Asuncion,VE,11.0333,-63.8628,83.93,79,99,14.97,overcast clouds
247,Marawi,PH,7.9986,124.2928,70.65,84,47,2.24,scattered clouds
248,Acapulco,MX,16.8634,-99.8901,85.82,74,90,4.61,overcast clouds
249,Pacific Grove,US,36.6177,-121.9166,74.8,85,20,1.01,few clouds
250,Whitianga,NZ,-36.8333,175.7,62.02,75,100,19.44,overcast clouds
251,Port Hardy,CA,50.6996,-127.4199,51.8,93,90,24.16,moderate rain
252,Safaga,EG,26.7292,33.9365,73.35,44,2,13.13,clear sky
253,Sulphur Springs,US,33.1385,-95.6011,80.31,38,1,8.05,clear sky
254,Punta Gorda,US,26.9298,-82.0454,81.99,66,1,4.0,clear sky
255,Atherton,GB,53.5237,-2.4935,50.45,67,82,11.01,broken clouds
256,Malanje,AO,-9.5402,16.341,65.28,92,93,6.29,overcast clouds
257,Puerto Ayacucho,VE,5.6639,-67.6236,75.47,93,94,6.17,overcast clouds
258,Knyaze-Volkonskoye,RU,48.4642,135.4567,34.14,63,77,5.01,broken clouds
259,Waipawa,NZ,-41.4122,175.5153,59.31,55,96,9.48,overcast clouds
260,Faanui,PF,-16.4833,-151.75,79.52,72,22,7.83,light rain
261,Neryungri,RU,56.6709,124.6491,34.3,97,100,5.64,overcast clouds
262,Bakel,SN,14.905,-12.4568,87.82,16,97,9.73,overcast clouds
263,Ahuimanu,US,21.4447,-157.8378,83.91,65,90,5.75,overcast clouds
264,Buenaventura,CO,3.8801,-77.0312,64.9,96,95,2.37,light rain
265,Minas,UY,-34.3759,-55.2377,59.52,78,16,6.93,few clouds
266,Fairbanks,US,64.8378,-147.7164,34.21,77,75,0.0,broken clouds
267,Ixtapa,MX,20.7,-105.2,87.03,70,75,8.05,broken clouds
268,Estelle,US,29.8458,-90.1067,84.2,72,40,6.91,scattered clouds
269,Evensk,RU,61.95,159.2333,10.83,68,7,5.59,clear sky
270,Tessalit,ML,20.1986,1.0114,78.51,20,0,6.64,clear sky
271,Avera,US,33.194,-82.5271,73.71,71,58,5.7,broken clouds
272,Pochutla,MX,15.7432,-96.4661,82.81,85,98,2.42,overcast clouds
273,Hobyo,SO,5.3505,48.5268,78.4,81,49,12.93,scattered clouds
274,Samarai,PG,-10.6167,150.6667,82.96,68,32,11.83,scattered clouds
275,Galesong,ID,-5.3166,119.3661,77.02,64,40,3.13,scattered clouds
276,Chokurdakh,RU,70.6333,147.9167,-14.6,96,85,3.89,overcast clouds
277,Morehead,US,37.2711,-87.1764,64.15,56,90,11.5,overcast clouds
278,Goundam,ML,16.4145,-3.6708,85.15,19,7,10.98,clear sky
279,Kachug,RU,53.9606,105.8817,28.74,87,4,2.15,clear sky
280,Geraldton,AU,-28.7667,114.6,63.12,88,90,5.75,overcast clouds
281,Glenwood Springs,US,39.5505,-107.3248,65.21,45,1,8.05,clear sky
282,Longyearbyen,SJ,78.2186,15.6401,15.64,92,40,6.91,light snow
283,Medina,SA,24.4686,39.6142,81.03,13,0,3.44,clear sky
284,Ilebo,CD,-4.3167,20.5833,69.04,99,74,1.16,broken clouds
285,Mahanoro,MG,-19.9,48.8,69.42,92,44,3.67,scattered clouds
286,Cayenne,GF,4.9333,-52.3333,82.44,82,75,5.01,broken clouds
287,Auki,SB,-8.7676,160.7034,82.36,73,100,4.23,overcast clouds
288,Andenes,NO,69.3143,16.1194,37.38,65,75,31.07,broken clouds
289,Kilrush,IE,52.6397,-9.4833,49.75,68,78,14.32,broken clouds
290,Remiremont,FR,48.0175,6.5882,49.69,97,98,2.48,overcast clouds
291,Irbeyskoye,RU,55.6428,95.4522,36.37,58,86,4.18,overcast clouds
292,Belgrade,RS,44.804,20.4651,60.46,60,0,6.91,clear sky
293,Le Vauclin,MQ,14.5452,-60.8388,82.45,69,40,13.8,scattered clouds
294,Half Moon Bay,US,37.4636,-122.4286,75.87,82,90,11.5,mist
295,Conde,BR,-7.2597,-34.9075,80.06,78,20,9.22,few clouds
296,Shelburne,CA,44.0787,-80.2041,57.27,96,98,9.93,light rain
297,Rudbar,AF,30.15,62.6,54.68,56,7,16.08,clear sky
298,Haines Junction,CA,60.7522,-137.5108,48.15,46,100,2.3,overcast clouds
299,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.48,92,86,2.13,moderate rain
300,Kluczbork,PL,50.9728,18.2182,51.98,70,38,18.86,scattered clouds
301,Krasnoselkup,RU,65.7,82.4667,25.83,98,94,6.08,overcast clouds
302,Hukuntsi,BW,-24.0,21.75,62.44,77,31,8.59,light rain
303,Imeni Babushkina,RU,59.7573,43.1285,48.09,98,100,9.44,light rain
304,Bang Pakong,TH,13.543,100.9933,82.18,91,100,4.56,overcast clouds
305,Eureka,US,40.8021,-124.1637,68.61,82,100,7.0,light rain
306,Roma,US,43.2128,-75.4557,66.83,73,40,6.91,scattered clouds
307,Nanortalik,GL,60.1432,-45.2371,41.59,52,100,11.68,overcast clouds
308,Kaura Namoda,NG,12.5898,6.5779,82.29,43,12,2.53,few clouds
309,Chitral,PK,35.8462,71.7858,56.73,65,98,1.43,overcast clouds
